[pods] 2022/02/02 12:34:08.865120 获取namespace kube-system指定POD信息成功, pod名称: kube-scheduler-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:34:08.865128 获取namespace kube-system指定POD信息成功, pod名称: snapshot-controller-0 IP: 10.1.0.145
[pods] 2022/02/02 12:34:08.865134 获取namespace kube-system指定POD信息成功, pod名称: storage-provisioner IP: 10.1.0.140
[pods] 2022/02/02 12:34:08.865140 获取namespace kube-system指定POD信息成功, pod名称: vpnkit-controller IP: 10.1.0.144
[pods] 2022/02/02 12:34:08.865150 获取namespace kubesphere-controls-system指定POD信息成功, pod名称: default-http-backend-5bf68ff9b8-pxksq IP: 10.1.0.157
[pods] 2022/02/02 12:34:08.865373 获取namespace kubesphere-controls-system指定POD信息成功, pod名称: kubectl-admin-6667774bb-rlwx9 IP: 10.1.0.151
[pods] 2022/02/02 12:34:08.865391 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: alertmanager-main-0 IP: 10.1.0.150
[pods] 2022/02/02 12:34:08.865400 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: kube-state-metrics-5547ddd4cc-r77hd IP: 10.1.0.139
[pods] 2022/02/02 12:34:08.865407 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: node-exporter-v4qj4 IP: 192.168.65.4
[pods] 2022/02/02 12:34:08.865414 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: notification-manager-deployment-78664576cb-6z664 IP: 10.1.0.149
[pods] 2022/02/02 12:34:08.865421 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: notification-manager-operator-7d44854f54-26sc9 IP: 10.1.0.155
[pods] 2022/02/02 12:34:08.865428 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: prometheus-k8s-0 IP: 10.1.0.152
[pods] 2022/02/02 12:34:08.865434 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: prometheus-operator-5c5db79546-wqjq8 IP: 10.1.0.142
[pods] 2022/02/02 12:34:08.865518 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-apiserver-757484bd95-4wbrr IP: 10.1.0.159
[pods] 2022/02/02 12:34:08.865537 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-console-65f4d44d88-tsx6f IP: 10.1.0.137
[pods] 2022/02/02 12:34:08.865545 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-controller-manager-6677dc75d-87psd IP: 10.1.0.160
[pods] 2022/02/02 12:34:08.865552 获取namespace kubesphere-system指定POD信息成功, pod名称: ks-installer-b5c8dccc5-zr4ts IP: 10.1.0.153
[pods] 2022/02/02 12:34:08.865558 获取namespace openebs指定POD信息成功, pod名称: openebs-localpv-provisioner-6756f57d65-2vwh4 IP: 10.1.0.138
[pods] 2022/02/02 12:34:08.865565 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-67xf7 IP: 192.168.65.4
[pods] 2022/02/02 12:34:08.865572 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-cluster-exporter-5c985f8b77-cvrd4 IP: 10.1.0.141
[pods] 2022/02/02 12:34:08.865578 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-node-exporter-w5dg8 IP: 10.1.0.136
[pods] 2022/02/02 12:34:08.865585 获取namespace openebs指定POD信息成功, pod名称: openebs-ndm-operator-9bdd87f58-kr7rx IP: 10.1.0.147
[pods] 2022/02/02 12:41:51.165178 获取namespace ambassador指定POD信息成功, pod名称: traffic-manager-5cb99c9fd6-87nxm IP: 10.1.0.156
[pods] 2022/02/02 12:41:51.165636 获取namespace kube-system指定POD信息成功, pod名称: coredns-558bd4d5db-cw8df IP: 10.1.0.143
[pods] 2022/02/02 12:41:51.165812 获取namespace kube-system指定POD信息成功, pod名称: coredns-558bd4d5db-fj7jd IP: 10.1.0.146
[pods] 2022/02/02 12:41:51.165957 获取namespace kube-system指定POD信息成功, pod名称: etcd-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:41:51.166104 获取namespace kube-system指定POD信息成功, pod名称: kube-apiserver-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:41:51.166294 获取namespace kube-system指定POD信息成功, pod名称: kube-controller-manager-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:41:51.166369 获取namespace kube-system指定POD信息成功, pod名称: kube-proxy-7gwzb IP: 192.168.65.4
[pods] 2022/02/02 12:41:51.166496 获取namespace kube-system指定POD信息成功, pod名称: kube-scheduler-docker-desktop IP: 192.168.65.4
[pods] 2022/02/02 12:41:51.166548 获取namespace kube-system指定POD信息成功, pod名称: snapshot-controller-0 IP: 10.1.0.145
[pods] 2022/02/02 12:41:51.166714 获取namespace kube-system指定POD信息成功, pod名称: storage-provisioner IP: 10.1.0.140
[pods] 2022/02/02 12:41:51.166808 获取namespace kube-system指定POD信息成功, pod名称: vpnkit-controller IP: 10.1.0.144
[pods] 2022/02/02 12:41:51.167947 获取namespace kubesphere-controls-system指定POD信息成功, pod名称: default-http-backend-5bf68ff9b8-pxksq IP: 10.1.0.157
[pods] 2022/02/02 12:41:51.168118 获取namespace kubesphere-controls-system指定POD信息成功, pod名称: kubectl-admin-6667774bb-rlwx9 IP: 10.1.0.151
[pods] 2022/02/02 12:41:51.168189 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: alertmanager-main-0 IP: 10.1.0.150
[pods] 2022/02/02 12:41:51.168325 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: kube-state-metrics-5547ddd4cc-r77hd IP: 10.1.0.139
[pods] 2022/02/02 12:41:51.168580 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: node-exporter-v4qj4 IP: 192.168.65.4
[pods] 2022/02/02 12:41:51.168674 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: notification-manager-deployment-78664576cb-6z664 IP: 10.1.0.149
[pods] 2022/02/02 12:41:51.168819 获取namespace kubesphere-monitoring-system指定POD信息成功, pod名称: notification-manager-operator-7d44854f54-26sc9 IP: 10.1.0.155
